"","color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3855","white",7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6
"3794","white",6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
"4334","white",7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6
"4538","white",7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
"5589","white",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"2548","white",6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
"4850","white",6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,6
"3456","white",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"5452","white",5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6
"3506","white",6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5
"2406","white",6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
"3053","white",7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
"2190","white",7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5
"4471","white",6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
"4362","white",7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
"4403","white",5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8
"1796","white",6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
"5712","white",6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6
"918","red",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
"6080","white",5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,5
"1763","white",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
"1717","white",7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6
"5690","white",6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6
"351","red",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
"4679","white",6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
"4934","white",6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6
"5313","white",6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5
"2822","white",7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6
"4716","white",6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,7
"5196","white",6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7
"1951","white",7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
"4851","white",6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
"3838","white",6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
"174","red",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
"787","red",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5
"6139","white",8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
"2445","white",7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
"5487","white",7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
"5853","white",5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4
"3414","white",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
"4929","white",6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,6
"3109","white",7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
"5865","white",6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
"6314","white",6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,7
"1157","red",8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7
"5501","white",4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
"5740","white",6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
"2410","white",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
"1077","red",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
"2693","white",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
"942","red",9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7
"5170","white",6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
"722","red",8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
"6336","white",6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,6
"2457","white",8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
"528","red",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
"1052","red",8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
"5179","white",7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7
"3312","white",7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6
"3574","white",7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
"223","red",6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5
"819","red",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5
"6180","white",5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6
"5990","white",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
"1394","red",8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5
"6143","white",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
"2107","white",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
"6059","white",5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,5
"1554","red",7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
"4712","white",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
"2688","white",7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6
"2614","white",6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
"3306","white",6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
"1168","red",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
"3857","white",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
"5744","white",6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
"1612","white",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
"3393","white",7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
"3466","white",7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
"2761","white",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"2225","white",6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
"3274","white",6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
"5983","white",6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,6
"4946","white",6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
"3182","white",8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
"5496","white",6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4,6
"2702","white",6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5
"6355","white",6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,6
"3138","white",6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
"2329","white",6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
"2971","white",8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
"4336","white",6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
"6126","white",5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,6
"3370","white",7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
"933","red",7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6
"947","red",10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7
"1689","white",7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
"562","red",9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
"1402","red",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
"3698","white",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
"2456","white",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
"1699","white",6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
"1429","red",7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5
"4380","white",6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5
"3449","white",7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6
"3403","white",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"2663","white",6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,5
"6140","white",5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
"4854","white",7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
"5471","white",6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
"5142","white",6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6
"5428","white",6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
"2052","white",5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
"5403","white",7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6
"4549","white",6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6
"269","red",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
"4197","white",6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
"2745","white",6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
"5371","white",6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
"2078","white",7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
"366","red",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6
"1203","red",8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
"4707","white",7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,6
"6317","white",4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,6
"1624","white",6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6
"3423","white",7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
"4975","white",7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6
"6203","white",5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,6
"997","red",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
"6254","white",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.9666666666667,7
"2311","white",8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
"3018","white",6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5
"1043","red",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
"5226","white",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
"3233","white",7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7
"2884","white",7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7
"4819","white",6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
"6241","white",6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6
"887","red",9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,6
"1223","red",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6
"3859","white",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
"4089","white",6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
"4141","white",9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
"958","red",9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6
"5680","white",5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,6
"1285","red",7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5
"3187","white",6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
"3485","white",7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
"5639","white",6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4
"4496","white",7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5
"5872","white",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"5660","white",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
"5205","white",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
"1704","white",7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
"3328","white",6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
"3264","white",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
"950","red",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
"768","red",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5
"3984","white",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"1159","red",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
"1089","red",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
"5316","white",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
"831","red",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
"995","red",10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
"3044","white",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"3831","white",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
"3968","white",7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
"842","red",6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5
"2633","white",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
"5047","white",6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6
"2721","white",6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
"4370","white",6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
"6466","white",5.7,0.41,0.21,1.9,0.048,30,112,0.99138,3.29,0.55,11.2,6
"1895","white",6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6
"5148","white",6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6
"3939","white",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
"383","red",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
"96","red",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
"3191","white",6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,6
"5950","white",7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6
"1643","white",6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
"5944","white",6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
"93","red",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
"647","red",7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5
"5764","white",7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
"6157","white",6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
"5176","white",7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
"2554","white",7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
"2800","white",6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6
"69","red",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
"4400","white",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
"4572","white",6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
"2371","white",6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,7
"2143","white",6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6
"5925","white",6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
"2009","white",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
"781","red",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6
"6193","white",6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6
"4784","white",6.2,0.1,0.41,1,0.04,17,76,0.98988,3.14,0.56,11.4,7
"4479","white",5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6
"4664","white",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
"5322","white",7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,5
"1321","red",9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5
"4005","white",6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5
"5143","white",6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
"556","red",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
"3279","white",6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5
"3491","white",7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,5
"2471","white",7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
"662","red",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5
"3766","white",7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5
"5227","white",6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5
"1278","red",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
"1537","red",6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
"6174","white",6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
"6433","white",5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
"3317","white",6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
"1000","red",6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6
"6169","white",6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
"1357","red",6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5
"3588","white",8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,6
"5873","white",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"1555","red",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
"1269","red",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
"398","red",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
"3480","white",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
"2193","white",6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
"1368","red",6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6
"3298","white",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"3633","white",7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5
"3034","white",7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
"5067","white",6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5
"1492","red",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
"4320","white",7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7
"2181","white",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
"6072","white",7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5
"4473","white",5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8
"4099","white",6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
"4038","white",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
"3808","white",7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
"759","red",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
"288","red",7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
"2414","white",7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
"1436","red",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
"4017","white",7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5
"4155","white",6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
"252","red",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"2032","white",7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
"2994","white",5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
"1751","white",7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6
"6109","white",6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5
"5648","white",6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6
"5683","white",6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5
"5659","white",6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
"793","red",7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6
"3971","white",6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
"3026","white",7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
"4424","white",7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
"5060","white",6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
"6361","white",6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
"4667","white",7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4
"5911","white",7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
"1847","white",5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7
"4605","white",6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,6
"751","red",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
"4437","white",7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,6
"1833","white",7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
"1638","white",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
"1054","red",8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,7
"4413","white",5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
"6307","white",5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
"2775","white",6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5
"33","red",8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
"503","red",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
"2995","white",6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7
"340","red",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
"6153","white",5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
"5980","white",5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.0666666666667,6
"3173","white",7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
"3792","white",7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
"5001","white",8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
"5011","white",6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
"6036","white",6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6
"3094","white",7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
"3290","white",9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4
"2338","white",7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7
"2982","white",6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6
"87","red",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"1255","red",7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5
"1021","red",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
